學年度,學期,學號,就讀班級,課程代碼,成績
110,1,A2372,資訊一甲,R53862,90
110,1,A4291,資訊一甲,R87963,71
110,1,A7024,資訊一甲,R93896,59
110,1,A9525,資訊一甲,R88116,66
110,1,A8406,材料二甲,R45288,6
110,1,A8889,材料二甲,R31547,61
110,1,A9240,資訊一乙,R78105,47
110,1,A2950,資訊一乙,R31748,16
110,1,A5486,資訊一乙,R45902,25
110,1,A6658,資訊一乙,R38323,8
110,1,A7583,化學三甲,R37639,77
110,1,A2085,資訊二甲,R92342,60
110,1,A4190,資訊二甲,R45944,83
110,1,A4221,化學三甲,R60976,39
110,1,A5175,資訊二甲,R40624,83
110,1,A8857,資訊二甲,R31315,76
110,1,A2560,資訊二甲,R46671,49
110,1,A8394,化學三甲,R20756,23
110,1,A7377,材料二甲,R55532,77
110,1,A1521,材料二甲,R39928,38
110,1,A1607,資訊一乙,R94199,80
110,1,A5786,資訊一乙,R32737,58
110,1,A5407,材料二甲,R40596,19
110,1,A4452,材料二甲,R93028,96
110,1,A5215,資訊一乙,R51908,19
110,1,A7141,資訊一乙,R28202,57
